model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
TL-AC210 ,,https://static.tp-link.com/res/down/doc/lightning_datasheet.pdf,https://www.tp-link.com//us/support/download/tl-ac210/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-ac210/
UP220 ,,https://static.tp-link.com/2018/201809/20180921/UP220(US)_datasheet.pdf,https://www.tp-link.com//us/support/download/up220/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/up220/
TL-PB10000 ,,,https://www.tp-link.com//us/support/download/tl-pb10000/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-pb10000/
UP540 ,,https://static.tp-link.com/UP540-UP525(UN)_1.0-datasheet-1608--English_1473146244124k.pdf,https://www.tp-link.com//us/support/download/up540/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/up540/
UP525 ,,https://static.tp-link.com/UP540-UP525(UN)_1.0-datasheet-1608--English_1473146081064l.pdf,https://www.tp-link.com//us/support/download/up525/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/up525/
TL-PB10400 ,V3,https://static.tp-link.com/2020/202002/20200219/TL-PB10400(UN) V3_datasheet_final.pdf,https://www.tp-link.com//us/support/download/tl-pb10400/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-pb10400/
TL-PB15600 ,,https://static.tp-link.com/2020/202002/20200219/TL-PB15600(UN) 1.0_datasheet_final.pdf,https://www.tp-link.com//us/support/download/tl-pb15600/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-pb15600/
