model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
Tapo C100 ,V4.80,https://static.tp-link.com/upload/product-overview/2023/202312/20231201/Tapo C100 4.20&4.30&4.26&4.28&4.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c100/#Firmware-Release-Notes,Tapo C100(US)_V4.8_1.3.7 Build 230821,,https://www.tp-link.com//us/support/download/tapo-c100/
Tapo C110 ,V2.26,https://static.tp-link.com/upload/product-overview/2023/202312/20231215/Tapo C110 2.20&2.26&2.28_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c110/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tapo-c110/
EC60 ,V4.80,https://static.tp-link.com/upload/product-overview/2023/202308/20230828/EC60(US)4.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/ec60/#Firmware-Release-Notes,EC60(US)_V4.8_2.3.22 Build 20230731,,https://www.tp-link.com//us/support/download/ec60/
Tapo C320WS ,V2.26,https://static.tp-link.com/upload/product-overview/2023/202310/20231023/Tapo C320WS 2.20&2.26_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c320ws/#Firmware-Release-Notes,Tapo C320WS(US)_V2.26_1.0.5 Build 230316,,https://www.tp-link.com//us/support/download/tapo-c320ws/
Tapo C225 ,V2.6,https://static.tp-link.com/upload/product-overview/2023/202309/20230921/Tapo C225 2.0&2.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/tapo-c225/#Firmware-Release-Notes,Tapo C225(US)_V2.6_1.0.7 Build 231108,,https://www.tp-link.com//us/support/download/tapo-c225/
KD110 ,V4,,https://www.tp-link.com//us/support/download/kd110/#Firmware-Release-Notes,KD110(US)_V4_2.3.20 Build 20230426,,https://www.tp-link.com//us/support/download/kd110/
KC410S ,V1.80,https://static.tp-link.com/upload/product-overview/2023/202304/20230421/KC410S(US)1.0&1.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/kc410s/#Firmware-Release-Notes,KC410S(US)_V1.8_2.3.20 Build 20230426,,https://www.tp-link.com//us/support/download/kc410s/
KC400 ,V1.80,,https://www.tp-link.com//us/support/download/kc400/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc400/
KC420WS ,V1.80,,https://www.tp-link.com//us/support/download/kc420ws/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc420ws/
KC401 ,V1.80,https://static.tp-link.com/upload/product-overview/2022/202211/20221116/KC401(US)1.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/kc401/#Firmware-Release-Notes,KC401(US)_V1.8_2.3.20 Build 20230424,,https://www.tp-link.com//us/support/download/kc401/
KC105 ,V2,https://static.tp-link.com/2021/202104/20210415/KC105(US)2.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/kc105/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc105/
KC411S ,V1.80,https://static.tp-link.com/upload/product-overview/2022/202211/20221116/KC411S(US)1.8_Datasheet.pdf,https://www.tp-link.com//us/support/download/kc411s/#Firmware-Release-Notes,KC411S(US)_V1.8_2.3.20 Build 20230426,,https://www.tp-link.com//us/support/download/kc411s/
TL-NC450 ,V2,https://static.tp-link.com/2019/201903/20190321/NC450(UN)2.0_datasheet.pdf,https://www.tp-link.com//us/support/download/tl-nc450/#Firmware-Release-Notes,TP-LINK_Camera_Control1.0.5.0_Windows,,https://www.tp-link.com//us/support/download/tl-nc450/
KC300S2 ,,https://static.tp-link.com/2020/202009/20200915/KC300 S1&S2&S3 (US)1.0.pdf,https://www.tp-link.com//us/support/download/kc300s2/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc300s2/
KC200 ,,https://static.tp-link.com/2020/202009/20200902/KC200(EU&US)1.0 datasheet.pdf,https://www.tp-link.com//us/support/download/kc200/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/kc200/
