model_name,firmware_version,Datasheet download_link
Archer C59 ,V4.80,
TL-WR902AC ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202306/20230601/TL-WR902AC(EU&US)4.0_Datasheet.pdf
Archer C50 ,V5,https://static.tp-link.com/2019/201901/20190110/Archer C50(US)5.0_Datasheet.pdf
Archer C2 ,V5,https://static.tp-link.com/2017/201712/20171227/Archer C2-5.0-datasheet.pdf
TL-WR710N ,,https://static.tp-link.com/resources/document/TL-WR710N(US_V1_Datasheet.pdf
TL-WR740N ,V6,https://static.tp-link.com/res/down/doc/TL-WR740N(UN)_6.0.pdf
TL-WR743ND ,V2,https://static.tp-link.com/resources/document/TL-WR743ND_V2_Datasheet.pdf
Archer C900 ,,https://static.tp-link.com/2018/201805/20180503/Archer C900(US)1.0-datasheet.pdf
TL-WR1043N ,,https://static.tp-link.com/2018/201809/20180919/TL-WR1043N(EU US)5.0-datasheet.pdf
TL-WR1043ND ,V3,https://static.tp-link.com/res/down/doc/TL-WR1043ND(UN)_3.0.pdf
TL-WR940N ,V6.6,
TL-WR720N ,V2,https://static.tp-link.com/resources/document/TL-WR720N_V2_Datasheet.pdf
TL-WR702N ,,https://static.tp-link.com/resources/document/TL-WR702N_V1_datasheet.zip
TL-WDR3600 ,,https://static.tp-link.com/resources/document/TL-WDR3600_V1_datasheet.zip
TL-WR802N ,V4,https://static.tp-link.com/2020/202010/20201019/TL-WR802N(EU&US) 4.0-datasheet.pdf
TL-WDR4300 ,,https://static.tp-link.com/resources/document/TL-WDR4300_V1.0_Datasheet.zip
TL-WR810N ,V2,https://static.tp-link.com/TL-WR810N(US)_V2_Datasheet.pdf
TL-WDR3500 ,,https://static.tp-link.com/resources/document/TL-WDR3500_V1_Datasheet.zip
TL-WR941ND ,V6,https://static.tp-link.com/res/down/doc/TL-WR941ND(UN)_6.0.pdf
TL-WR841ND ,V11,https://static.tp-link.com/res/down/doc/TL-WR841ND_11.0.pdf
TL-WR1042ND ,,https://static.tp-link.com/resources/document/TL-WR1042ND_V1_Datasheet.pdf
TL-WR741ND ,V5,https://static.tp-link.com/res/down/doc/TL-WR741ND(UN)_5.0.pdf
Archer C5200 ,,
TL-WR841N ,V14.80,
Archer A2300 ,,https://static.tp-link.com/2019/201901/20190118/Archer A2300(US) Datasheet 1.0.pdf
Archer C3000 ,,https://static.tp-link.com/2019/201910/20191018/Archer C3000 Datasheet 1.0.pdf
