model_name,firmware_version,Datasheet download_link
Pharos Control ,,
CPE210 ,V3.28,
CPE610 ,V2,
WBS510 ,V2,https://static.tp-link.com/WBS510 & WBS210 2.0 Datasheet.pdf
CPE510 ,V3.28,https://static.tp-link.com/upload/product-overview/2023/202308/20230828/CPE series-Datasheet.pdf
CPE710 ,V2.8,
WBS210 ,V2,
TL-WA7510N ,V2,
TL-WA7210N ,,https://static.tp-link.com/resources/document/TL-WA7210N_V2_Datasheet.pdf
TL-WA5210G ,V2,
