model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
Archer AX21 ,V4.6,https://static.tp-link.com/upload/product-overview/2023/202305/20230530/Archer AX21(US) 4.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax21/#Firmware,Archer AX21(US)_V4.6_1.1.0 Build 20230725,https://static.tp-link.com/upload/firmware/2023/202308/20230815/Archer AX21(US)_V4.6_230725.zip,https://www.tp-link.com//us/support/download/archer-ax21/
Archer AX3000 ,V2.6,,https://www.tp-link.com//us/support/download/archer-ax3000/#Firmware,Archer AX3000(US)_V2.6_1.1.2 Build 20230221,https://static.tp-link.com/upload/firmware/2023/202303/20230329/Archer AX3000(US)_V2_230221.zip,https://www.tp-link.com//us/support/download/archer-ax3000/
Archer AX3200 ,V1.80,,https://www.tp-link.com//us/support/download/archer-ax3200/#Firmware,,,https://www.tp-link.com//us/support/download/archer-ax3200/
Archer AX90 ,V1.26,,https://www.tp-link.com//us/support/download/archer-ax90/#Firmware,Archer AX90(US)_V1.26_1.1.12 Build 20230526,https://static.tp-link.com/upload/firmware/2023/202306/20230616/Archer AX90(US)_V1_230526.zip,https://www.tp-link.com//us/support/download/archer-ax90/
Archer AX80 ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202208/20220805/Archer AX80(US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax80/#Firmware,Archer AX80(US)_V1.6_1.1.0 Build 20230728,https://static.tp-link.com/upload/firmware/2023/202309/20230905/Archer AX80(US)_V1_230728.zip,https://www.tp-link.com//us/support/download/archer-ax80/
Archer AC1900 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202304/20230414/Archer AC1900(USW) 1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ac1900/#Firmware,Archer AC1900(USW)_V1.6_1.13.2 Build 230824,https://static.tp-link.com/upload/firmware/2023/202311/20231117/Archer AC1900(USW)_V1_230824.zip,https://www.tp-link.com//us/support/download/archer-ac1900/
Archer AX5400 Pro ,,https://static.tp-link.com/upload/product-overview/2022/202212/20221221/Archer AX5400 Pro(US)1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax5400-pro/#Firmware,Archer AX5400 Pro(US)_V1.6_1.2.2 Build 20230831,https://static.tp-link.com/upload/firmware/2023/202310/20231027/Archer AX5400 Pro(US)_V1_2300831.zip,https://www.tp-link.com//us/support/download/archer-ax5400-pro/
Archer A8 ,V2.28,https://static.tp-link.com/2020/202010/20201014/Archer A8(EU&US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a8/#Firmware,Archer A8(US)_V2.28_1.13.2 Build 230824,https://static.tp-link.com/upload/firmware/2023/202310/20231030/Archer A8(US)_V2.2_230824.zip,https://www.tp-link.com//us/support/download/archer-a8/
Archer A54 ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202305/20230510/Archer A54(US)1.0&1.6_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-a54/#Firmware,Archer A54(US)_V1.6_230810,https://static.tp-link.com/upload/firmware/2023/202310/20231018/Archer A54(US)_V1_230810.zip,https://www.tp-link.com//us/support/download/archer-a54/
Archer AX75 ,V1.60,,https://www.tp-link.com//us/support/download/archer-ax75/#Firmware,Archer AX75(US)_V1.6_1.1.2 Build 20230606,https://static.tp-link.com/upload/firmware/2023/202307/20230718/Archer AX75(US)_V1_230606.zip,https://www.tp-link.com//us/support/download/archer-ax75/
Archer AX72 Pro ,V1.60,https://static.tp-link.com/upload/product-overview/2023/202302/20230201/Archer AX72 Pro(EU&US)1.0_Datasheet.pdf,https://www.tp-link.com//us/support/download/archer-ax72-pro/#Firmware,Archer AX72 Pro(US)_V1.6_1.2.2 Build 20230831,https://static.tp-link.com/upload/firmware/2023/202309/20230921/Archer AX72 Pro(US)_V1_230831.zip,https://www.tp-link.com//us/support/download/archer-ax72-pro/
