model_name,firmware_version,Datasheet download_link,Visited URL,firmware_details,download_link,source_url
TL-SG105 ,V8.60,https://static.tp-link.com/upload/product-overview/2023/202306/20230619/TL-SG105(UN)8.0&TL-SG108(UN)9.0&TL-SG116(UN)1.20.pdf,https://www.tp-link.com//us/support/download/tl-sg105/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-sg105/
LS1005G ,V3,,https://www.tp-link.com//us/support/download/ls1005g/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/ls1005g/
TL-SG105MPE ,V1.60,https://static.tp-link.com/upload/product-overview/2022/202212/20221205/TL-SG105MPE(UN)1.0 Datasheet.pdf,https://www.tp-link.com//us/support/download/tl-sg105mpe/#Firmware-Release-Notes,TL-SG105MPE(UN)_V1.6_1.0.0 Build 20230713,,https://www.tp-link.com//us/support/download/tl-sg105mpe/
TL-SG1005D ,V10.80,https://static.tp-link.com/upload/product-overview/2023/202306/20230609/TL-SG1005D(UN) 10.0&TL-SG1008D(UN) 10.0_datasheet.pdf,https://www.tp-link.com//us/support/download/tl-sg1005d/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-sg1005d/
TL-SF1005D ,V16,https://static.tp-link.com/2020/202006/20200615/TL-SF1005D&TL-SF1008D_datasheet.pdf,https://www.tp-link.com//us/support/download/tl-sf1005d/#Firmware-Release-Notes,,,https://www.tp-link.com//us/support/download/tl-sf1005d/
